responseText,upVoteCount,downVoteCount,templatesCount
"One of the major problems with this report is the categorization of the project. For example, Section 8 (3)(vii) of the Karnataka Preservation of Trees Act, 1976, stipulates that if more than 50 trees need to be cut for any infrastructure purpose, permission can only be issued after a public consultation. Officials have figured out a way to avoid this situation for sometime – they issue work orders to cut trees in bunches of 49 or lesser. To cut fewer than 50 trees, only permission from the BBMP Tree Officer is needed, and nothing more.
Ipso facto, it's easy to circumvent categorization of projects in order to avoid public consultation.
The second major pitfall is the lack of transparency of public consultations. Public consultations are posted in some esoteric corner of the internet and is usually prefunctory. We as a nation lack a cohesive public consultation space and hence most such consultations proceed with paltry inputs after they've been suspended in the void for a few days. Unless we solve the issue of proper public consulation, we'll be at the mercy of serendipity. An easy solution to this would be to post evey public consultation on a public forum like Twitter and to take strict action against any project which doesn't have a corresponding post on the twitter handle.
If we can tackle the subversion of categorization and lack of a good space for public consultation. We can ensure that such Environmental Impact Assessments have legs on which they can stand upon.",0,0,0
"Hello,
P1 - Monitoring frequency should be such that minimises the impact. A year's period will be a huge loss! This needs a 'rethink'!
P2- Public Consultation - The more the better. 45 should be an ideal if not less or more
P3 - Environmental Clearance - Decentralisation of power for clearances will anytime help speed up the process and minimize the red-tapism. Along with that, we should rethink around the categories we are issuing under A, B1 & B2. I quote from an article....""draft notification also stated that while projects concerning national defence and security or “involving other strategic considerations as determined by the Central government” would not be treated as category ‘A’, “no information relating to such projects shall be placed in public domain”. Such consideration will dissolve the purpose of assessing the impact on environment through such audits. 
P4 - Environmental Clearance Process - Each category of project should be strictly gone through appraisal process. If not, this will give an open opportunity for the big gainers to further deteriorate the operations in environmental terms. 
This stage sees the overall and detailed scrutiny of the final EIA report, which will have been presented to EAC or SEAC. The EAC or SEAC considers the environmental aspects of the project and makes a recommendation to the Regulatory Authority on whether prior EC should be granted or not. No one should be let escaped from this.",1,0,0
"The major problem I have with the EIA 2020 is that it proposes to declare some areas as ‘economically sensitive areas’, on the recommendation of Ministry of Environment, Forest and Climate Change, which means that it would be taken outside the ambit of the mandatory environmental and other clearances. Third party monitoring is another issues, here is ambiguity about these institutions, how will it be choosen and in which instance these institutions will work. It seems that EIA draft is all about ease of doing business and ignoring the threat to the nature.",0,0,0
"Demands for amendment of EIA guidelines 2020:
1. Period for public consultation: a) to be increased to minimum of 45 days; b) public consultation platform should ensure widespread accessibility, visibility and information on the same; c) format of public consultation forms to be made easier and specific for effective suggestion making by the people. This means provision of EIA guidelines 2020 in vernacular languages. 
2. Monitoring frequency to be increased from 1 year to minimum of 6 months, preferrably quaterly assessment. Calculation of cumulative change observed in the environmental impact of the projects over small intervals lead to more accurate impact assessement. 
3. Environmental clearance: to be decentralized further than center and state government. Due to the proximity of project to specific geographies, local governing bodies with environmental experts will have a better qualitative and quantitative understanding of immediate and long term impact of the project on local environment. 
4. Project categorization & clearance: projects should have specific qualitative and quantitive markers for categorization. These markers based on the degree of impact on different categories of biodiversity in the particular area, including the natural water body reserves, should determine the categorization of the project as 'A', 'B1' or 'B2'. The present categories are incomplete and insufficient. All projects irrespective of their categories should undergo same clearance procedure, but different level of authorities depending on the spatial extent of the project.",0,0,0
"The monitoring of the projects should be more regular and stricly adhere to and audited by an independent third party. Keeping a timeline of one year for monitoring the projects might have huge enviornmental impact throughout the year, which will be known at the en dof the year when it would be very difficult to undo or prevent the negative impact of any project.",0,0,0
I'm against at this Act.....,1,0,0
"It is a well known fact that a significant roadblock for key infrastructure projects in India is the Environmental Clearances. For example, the Navi-Mumbai International Airport has been delayed for over a decade due to environmental clearance issues. Environmental Clearances should not be viewed at as a “roadblock” to getting a project up and running. However, existing regulations make it cumbersome for project operators to obtain appropriate project financing, which make it even more difficult to accommodate concerns and issues raised by the appraisers. 
 
Such delays and financing issues increase overall cost burden on projects and make them unviable over a period of time. This further leads to increased burden on government exchequer on infrastructure financing. While the draft EIA notification appears to make the process of obtaining EP or EC easier, I feel it would be beneficial to include overall project costs (including public and private expenditures) in the categorization process. This would facilitate a greater link between the project financing authorities as well as EIA authorities. Project costing dimensions should be taken into consideration while categorizing overall risk profile of the project in consideration. As per a Ministry of Statistics and Program Implementation Report in October 2019 as many as 388 infrastructure projects (totalling over Rs. 4 lakh crore had been hit by cost overruns of various reasons - environmental reasons being one of them). It is therefore imperative that project clearance and financing agencies/authorities take into account such measures that include overall costing of the project. This will reduce overall project financing burden.",1,0,0
"There are many problems with this draft on the environmental and democratic front. 
Firstly, this draft proposes to shorten public hearings and exempt some large industries from public hearings itself- includes irrigation, dam works, etc. Marginalised communities who depend on the land for all their needs will can technically lose it without being consulted for 'strategic projects'. The term strategic projects could be anything- it is not clearly defined at all! Either this, or there is lesser time for mobilisation and organised protest because of the shortening of the public hearing period. 
Then the fait accompli issues come in with the post-facto clearance. The validity for clearances for certain industries have increased- newer installations to projects can be done at much more ease with less consultation because of the clearances. The compliance report has reduced annually instead of bieneally- which causes all the more damage and lesser need for checkups! This pandemic should have been a wake up call to strengthen the environment regulations not dilute it further.
This draft should definitely be withdrawn and released at a more suitable date when people are not grappling with a global pandemic. When it is released, it should be done with adequate time for the public hearing period. There should be more transparency regarding the response people give during this period and why it has been implemented or not implemented in the final report.",0,0,0
"There are many problems with this draft on the environmental and democratic front. 
Firstly, this draft proposes to shorten public hearings and exempt some large industries from public hearings itself- includes irrigation, dam works, etc. Marginalised communities who depend on the land for all their needs will can technically lose it without being consulted for 'strategic projects'. The term strategic projects could be anything- it is not clearly defined at all! Either this, or there is lesser time for mobilisation and organised protest because of the shortening of the public hearing period. 
Then the fait accompli issues come in with the post-facto clearance. The validity for clearances for certain industries have increased- newer installations to projects can be done at much more ease with less consultation because of the clearances. The compliance report has reduced annually instead of bieneally- which causes all the more damage and lesser need for checkups! This pandemic should have been a wake up call to strengthen the environment regulations not dilute it further.
This draft should definitely be withdrawn and released at a more suitable date when people are not grappling with a global pandemic. When it is released, it should be done with adequate time for the public hearing period. There should be more transparency regarding the response people give during this period and why it has been implemented or not implemented in the final report.",0,0,0
I am against EIA 2020. . detrimental to human survival. Who put drinks fire to get money. Idiotic.,0,0,0
"Demands for amendment of EIA guidelines 2020:
1. Period for public consultation: a) to be increased to minimum of 45 days; b) public consultation platform should ensure widespread accessibility, visibility and information on the same; c) format of public consultation forms to be made easier and specific for effective suggestion making by the people. This means provision of EIA guidelines 2020 in vernacular languages. 
2. Monitoring frequency to be increased from 1 year to minimum of 6 months, preferrably quaterly assessment. Calculation of cumulative change observed in the environmental impact of the projects over small intervals lead to more accurate impact assessement. 
3. Environmental clearance: to be decentralized further than center and state government. Due to the proximity of project to specific geographies, local governing bodies with environmental experts will have a better qualitative and quantitative understanding of immediate and long term impact of the project on local environment. 
4. Project categorization & clearance: projects should have specific qualitative and quantitive markers for categorization. These markers based on the degree of impact on different categories of biodiversity in the particular area, including the natural water body reserves, should determine the categorization of the project as 'A', 'B1' or 'B2'. The present categories are incomplete and insufficient. All projects irrespective of their categories should undergo same clearance procedure, but different level of authorities depending on the spatial extent of the project.",0,0,0
"1. Post facto approval will waive off the environmental damage which is already done by the project. Hazardous industries may use this loophole to start industries at any place.
2. Time limit reduction for submitting public comments will inhibit effective consultation process.
3. Compliance report submission only once a year will make it near impossible to mitigate the damage done by the projects as one year completes many geographical, hydrogical cycles that makes changes in the environment.
4. Blanket exemption for strategic projects will pave way for violence on environment with impunity. Environmental degradation does not differentiate between projects. It will affect everyone equally. Suo moto reporting may never happen as there is no responsibility fixing mechanism for damage caused.",2,0,0
